Date:	7/30/2012														
measured by:	Omer	 System:	ambient probe station												
measured at 65 watt. big cell corresponds to small grid. cells left under vacuum for one night															
Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]
 	.5 bg sc dark	 	.5 bg sc light	 	.5 sg bc dark	 	.5 sg bc dark	 	.4 bg sc dark	 	.4 bg sc light	 	.4 sg bc dark	 	.4 sg bc light
0.2200	2.07E-3	0.2200	-1.43E-3	0.2200	6.91E-4	0.2200	-4.52E-3	0.2200	1.73E-3	0.2200	6.46E-4	0.2200	5.35E-3	0.2200	4.55E-3
0.2300	2.61E-3	0.2300	-6.72E-4	0.2300	8.70E-4	0.2300	-4.03E-3	0.2300	2.06E-3	0.2300	1.16E-3	0.2300	6.17E-3	0.2300	5.60E-3
0.2400	3.23E-3	0.2400	1.71E-4	0.2400	1.08E-3	0.2400	-3.50E-3	0.2400	2.41E-3	0.2400	1.69E-3	0.2400	7.03E-3	0.2400	6.71E-3
0.2500	3.94E-3	0.2500	1.10E-3	0.2500	1.34E-3	0.2500	-2.93E-3	0.2500	2.79E-3	0.2500	2.26E-3	0.2500	7.96E-3	0.2500	7.87E-3
0.2600	4.73E-3	0.2600	2.10E-3	0.2600	1.63E-3	0.2600	-2.34E-3	0.2600	3.20E-3	0.2600	2.85E-3	0.2600	8.92E-3	0.2600	9.09E-3
0.2700	5.60E-3	0.2700	3.18E-3	0.2700	1.97E-3	0.2700	-1.72E-3	0.2700	3.62E-3	0.2700	3.47E-3	0.2700	9.94E-3	0.2700	1.03E-2
0.2800	6.57E-3	0.2800	4.33E-3	0.2800	2.35E-3	0.2800	-1.06E-3	0.2800	4.07E-3	0.2800	4.11E-3	0.2800	1.10E-2	0.2800	1.17E-2
0.2900	7.60E-3	0.2900	5.54E-3	0.2900	2.77E-3	0.2900	-3.69E-4	0.2900	4.54E-3	0.2900	4.76E-3	0.2900	1.21E-2	0.2900	1.30E-2
0.3000	8.69E-3	0.3000	6.80E-3	0.3000	3.23E-3	0.3000	3.42E-4	0.3000	5.02E-3	0.3000	5.43E-3	0.3000	1.32E-2	0.3000	1.44E-2
0.3100	9.86E-3	0.3100	8.13E-3	0.3100	3.73E-3	0.3100	1.08E-3	0.3100	5.52E-3	0.3100	6.12E-3	0.3100	1.44E-2	0.3100	1.58E-2
0.3200	1.11E-2	0.3200	9.50E-3	0.3200	4.27E-3	0.3200	1.83E-3	0.3200	6.02E-3	0.3200	6.82E-3	0.3200	1.56E-2	0.3200	1.73E-2
0.3300	1.24E-2	0.3300	1.09E-2	0.3300	4.83E-3	0.3300	2.59E-3	0.3300	6.55E-3	0.3300	7.53E-3	0.3300	1.68E-2	0.3300	1.88E-2
0.3400	1.37E-2	0.3400	1.24E-2	0.3400	5.43E-3	0.3400	3.38E-3	0.3400	7.08E-3	0.3400	8.26E-3	0.3400	1.80E-2	0.3400	2.03E-2
0.3500	1.51E-2	0.3500	1.39E-2	0.3500	6.06E-3	0.3500	4.17E-3	0.3500	7.62E-3	0.3500	8.99E-3	0.3500	1.93E-2	0.3500	2.18E-2
0.3600	1.65E-2	0.3600	1.54E-2	0.3600	6.70E-3	0.3600	4.98E-3	0.3600	8.17E-3	0.3600	9.72E-3	0.3600	2.06E-2	0.3600	2.34E-2
0.3700	1.79E-2	0.3700	1.69E-2	0.3700	7.38E-3	0.3700	5.81E-3	0.3700	8.74E-3	0.3700	1.05E-2	0.3700	2.20E-2	0.3700	2.50E-2
0.3800	1.94E-2	0.3800	1.85E-2	0.3800	8.07E-3	0.3800	6.64E-3	0.3800	9.31E-3	0.3800	1.12E-2	0.3800	2.33E-2	0.3800	2.66E-2
0.3900	2.09E-2	0.3900	2.01E-2	0.3900	8.79E-3	0.3900	7.47E-3	0.3900	9.89E-3	0.3900	1.20E-2	0.3900	2.47E-2	0.3900	2.82E-2
0.4000	2.25E-2	0.4000	2.18E-2	0.4000	9.52E-3	0.4000	8.33E-3	0.4000	1.05E-2	0.4000	1.27E-2	0.4000	2.61E-2	0.4000	2.98E-2
0.4100	2.41E-2	0.4100	2.34E-2	0.4100	1.03E-2	0.4100	9.18E-3	0.4100	1.11E-2	0.4100	1.35E-2	0.4100	2.76E-2	0.4100	3.15E-2
0.4200	2.56E-2	0.4200	2.51E-2	0.4200	1.10E-2	0.4200	1.00E-2	0.4200	1.17E-2	0.4200	1.43E-2	0.4200	2.91E-2	0.4200	3.31E-2
0.4300	2.73E-2	0.4300	2.68E-2	0.4300	1.18E-2	0.4300	1.09E-2	0.4300	1.23E-2	0.4300	1.51E-2	0.4300	3.06E-2	0.4300	3.48E-2
0.4400	2.89E-2	0.4400	2.85E-2	0.4400	1.26E-2	0.4400	1.18E-2	0.4400	1.30E-2	0.4400	1.58E-2	0.4400	3.21E-2	0.4400	3.65E-2
0.4500	3.06E-2	0.4500	3.02E-2	0.4500	1.34E-2	0.4500	1.26E-2	0.4500	1.36E-2	0.4500	1.66E-2	0.4500	3.37E-2	0.4500	3.82E-2
0.4600	3.23E-2	0.4600	3.19E-2	0.4600	1.42E-2	0.4600	1.35E-2	0.4600	1.43E-2	0.4600	1.74E-2	0.4600	3.54E-2	0.4600	3.99E-2
0.4700	3.40E-2	0.4700	3.37E-2	0.4700	1.51E-2	0.4700	1.44E-2	0.4700	1.50E-2	0.4700	1.82E-2	0.4700	3.70E-2	0.4700	4.16E-2
0.4800	3.57E-2	0.4800	3.54E-2	0.4800	1.59E-2	0.4800	1.53E-2	0.4800	1.57E-2	0.4800	1.90E-2	0.4800	3.87E-2	0.4800	4.33E-2
0.4900	3.74E-2	0.4900	3.72E-2	0.4900	1.68E-2	0.4900	1.62E-2	0.4900	1.64E-2	0.4900	1.98E-2	0.4900	4.05E-2	0.4900	4.51E-2
0.5000	3.91E-2	0.5000	3.90E-2	0.5000	1.76E-2	0.5000	1.71E-2	0.5000	1.71E-2	0.5000	2.06E-2	0.5000	4.22E-2	0.5000	4.68E-2
0.5100	4.09E-2	0.5100	4.08E-2	0.5100	1.85E-2	0.5100	1.80E-2	0.5100	1.78E-2	0.5100	2.14E-2	0.5100	4.40E-2	0.5100	4.85E-2
0.5200	4.27E-2	0.5200	4.26E-2	0.5200	1.93E-2	0.5200	1.89E-2	0.5200	1.86E-2	0.5200	2.22E-2	0.5200	4.57E-2	0.5200	5.03E-2
0.5300	4.44E-2	0.5300	4.44E-2	0.5300	2.02E-2	0.5300	1.97E-2	0.5300	1.94E-2	0.5300	2.30E-2	0.5300	4.76E-2	0.5300	5.20E-2
0.5400	4.62E-2	0.5400	4.62E-2	0.5400	2.11E-2	0.5400	2.06E-2	0.5400	2.02E-2	0.5400	2.38E-2	0.5400	4.94E-2	0.5400	5.38E-2
0.5500	4.80E-2	0.5500	4.80E-2	0.5500	2.20E-2	0.5500	2.16E-2	0.5500	2.10E-2	0.5500	2.46E-2	0.5500	5.14E-2	0.5500	5.56E-2
0.5600	4.98E-2	0.5600	4.98E-2	0.5600	2.29E-2	0.5600	2.25E-2	0.5600	2.18E-2	0.5600	2.55E-2	0.5600	5.33E-2	0.5600	5.73E-2
0.5700	5.17E-2	0.5700	5.17E-2	0.5700	2.38E-2	0.5700	2.34E-2	0.5700	2.26E-2	0.5700	2.63E-2	0.5700	5.52E-2	0.5700	5.91E-2
0.5800	5.35E-2	0.5800	5.35E-2	0.5800	2.47E-2	0.5800	2.43E-2	0.5800	2.35E-2	0.5800	2.71E-2	0.5800	5.72E-2	0.5800	6.09E-2
0.5900	5.53E-2	0.5900	5.53E-2	0.5900	2.56E-2	0.5900	2.52E-2	0.5900	2.43E-2	0.5900	2.79E-2	0.5900	5.92E-2	0.5900	6.26E-2
0.6000	5.72E-2	0.6000	5.72E-2	0.6000	2.66E-2	0.6000	2.61E-2	0.6000	2.51E-2	0.6000	2.88E-2	0.6000	6.12E-2	0.6000	6.43E-2
0.6100	5.90E-2	0.6100	5.90E-2	0.6100	2.75E-2	0.6100	2.71E-2	0.6100	2.59E-2	0.6100	2.96E-2	0.6100	6.34E-2	0.6100	6.60E-2
0.6200	6.09E-2	0.6200	6.09E-2	0.6200	2.84E-2	0.6200	2.80E-2	0.6200	2.68E-2	0.6200	3.04E-2	0.6200	6.55E-2	0.6200	6.72E-2
0.6300	6.27E-2	0.6300	6.27E-2	0.6300	2.93E-2	0.6300	2.89E-2	0.6300	2.77E-2	0.6300	3.13E-2	0.6300	6.76E-2	0.6300	6.87E-2
0.6400	6.46E-2	0.6400	6.46E-2	0.6400	3.03E-2	0.6400	2.99E-2	0.6400	2.85E-2	0.6400	3.21E-2	0.6400	6.96E-2	0.6400	7.04E-2
0.6500	6.65E-2	0.6500	6.65E-2	0.6500	3.12E-2	0.6500	3.08E-2	0.6500	2.94E-2	0.6500	3.30E-2	0.6500	7.16E-2	0.6500	7.20E-2
0.6600	6.83E-2	0.6600	6.83E-2	0.6600	3.22E-2	0.6600	3.18E-2	0.6600	3.02E-2	0.6600	3.38E-2	0.6600	7.37E-2	0.6600	7.33E-2
0.6700	7.02E-2	0.6700	7.02E-2	0.6700	3.31E-2	0.6700	3.27E-2	0.6700	3.11E-2	0.6700	3.47E-2	0.6700	7.57E-2	0.6700	7.43E-2
0.6800	7.21E-2	0.6800	7.21E-2	0.6800	3.41E-2	0.6800	3.37E-2	0.6800	3.20E-2	0.6800	3.55E-2	0.6800	7.77E-2	0.6800	7.58E-2
0.6900	7.40E-2	0.6900	7.40E-2	0.6900	3.50E-2	0.6900	3.46E-2	0.6900	3.29E-2	0.6900	3.64E-2	0.6900	7.97E-2	0.6900	7.71E-2
0.7000	7.59E-2	0.7000	7.58E-2	0.7000	3.60E-2	0.7000	3.56E-2	0.7000	3.38E-2	0.7000	3.73E-2	0.7000	8.17E-2	0.7000	7.91E-2
0.7100	7.78E-2	0.7100	7.77E-2	0.7100	3.70E-2	0.7100	3.65E-2	0.7100	3.47E-2	0.7100	3.82E-2	0.7100	8.34E-2	0.7100	8.10E-2
0.7200	7.97E-2	0.7200	7.96E-2	0.7200	3.79E-2	0.7200	3.75E-2	0.7200	3.57E-2	0.7200	3.91E-2	0.7200	8.51E-2	0.7200	8.31E-2
0.7300	8.16E-2	0.7300	8.15E-2	0.7300	3.89E-2	0.7300	3.85E-2	0.7300	3.66E-2	0.7300	4.00E-2	0.7300	8.44E-2	0.7300	8.52E-2
0.7400	8.35E-2	0.7400	8.34E-2	0.7400	3.99E-2	0.7400	3.94E-2	0.7400	3.76E-2	0.7400	4.09E-2	0.7400	8.57E-2	0.7400	8.72E-2
0.7500	8.54E-2	0.7500	8.53E-2	0.7500	4.08E-2	0.7500	4.04E-2	0.7500	3.85E-2	0.7500	4.18E-2	0.7500	9.02E-2	0.7500	8.93E-2
0.7600	8.73E-2	0.7600	8.72E-2	0.7600	4.18E-2	0.7600	4.14E-2	0.7600	3.95E-2	0.7600	4.26E-2	0.7600	9.11E-2	0.7600	9.14E-2
0.7700	8.92E-2	0.7700	8.91E-2	0.7700	4.28E-2	0.7700	4.24E-2	0.7700	4.04E-2	0.7700	4.35E-2	0.7700	9.41E-2	0.7700	9.35E-2
0.7800	9.11E-2	0.7800	9.10E-2	0.7800	4.38E-2	0.7800	4.33E-2	0.7800	4.13E-2	0.7800	4.44E-2	0.7800	9.64E-2	0.7800	9.52E-2
0.7900	9.31E-2	0.7900	9.29E-2	0.7900	4.48E-2	0.7900	4.43E-2	0.7900	4.23E-2	0.7900	4.53E-2	0.7900	9.86E-2	0.7900	9.72E-2
0.8000	9.50E-2	0.8000	9.48E-2	0.8000	4.58E-2	0.8000	4.53E-2	0.8000	4.33E-2	0.8000	4.62E-2	0.8000	1.00E-1	0.8000	9.96E-2
0.8100	9.69E-2	0.8100	9.67E-2	0.8100	4.68E-2	0.8100	4.63E-2	0.8100	4.42E-2	0.8100	4.72E-2	0.8100	1.00E-1	0.8100	1.00E-1
0.8200	9.88E-2	0.8200	9.86E-2	0.8200	4.78E-2	0.8200	4.73E-2	0.8200	4.51E-2	0.8200	4.81E-2	0.8200	1.00E-1	0.8200	1.00E-1
0.8300	1.00E-1	0.8300	1.00E-1	0.8300	4.88E-2	0.8300	4.83E-2	0.8300	4.61E-2	0.8300	4.90E-2	0.8300	1.00E-1	0.8300	1.00E-1
0.8400	1.00E-1	0.8400	1.00E-1	0.8400	4.98E-2	0.8400	4.93E-2	0.8400	4.71E-2	0.8400	4.99E-2	0.8400	1.00E-1	0.8400	1.00E-1
0.8500	1.00E-1	0.8500	1.00E-1	0.8500	5.08E-2	0.8500	5.03E-2	0.8500	4.82E-2	0.8500	5.09E-2	0.8500	1.00E-1	0.8500	1.00E-1
0.8600	1.00E-1	0.8600	1.00E-1	0.8600	5.18E-2	0.8600	5.13E-2	0.8600	4.92E-2	0.8600	5.18E-2	0.8600	1.00E-1	0.8600	1.00E-1
0.8700	1.00E-1	0.8700	1.00E-1	0.8700	5.28E-2	0.8700	5.23E-2	0.8700	5.02E-2	0.8700	5.28E-2	0.8700	1.00E-1	0.8700	1.00E-1
0.8800	1.00E-1	0.8800	1.00E-1	0.8800	5.38E-2	0.8800	5.33E-2	0.8800	5.12E-2	0.8800	5.37E-2	0.8800	1.00E-1	0.8800	1.00E-1
0.8900	1.00E-1	0.8900	1.00E-1	0.8900	5.48E-2	0.8900	5.43E-2	0.8900	5.23E-2	0.8900	5.47E-2	0.8900	1.00E-1	0.8900	1.00E-1
0.9000	1.00E-1	0.9000	1.00E-1	0.9000	5.58E-2	0.9000	5.54E-2	0.9000	5.33E-2	0.9000	5.56E-2	0.9000	1.00E-1	0.9000	1.00E-1
0.9100	1.00E-1	0.9100	1.00E-1	0.9100	5.69E-2	0.9100	5.64E-2	0.9100	5.43E-2	0.9100	5.66E-2	0.9100	1.00E-1	0.9100	1.00E-1
0.9200	1.00E-1	0.9200	1.00E-1	0.9200	5.79E-2	0.9200	5.74E-2	0.9200	5.53E-2	0.9200	5.76E-2	0.9200	1.00E-1	0.9200	1.00E-1
0.9300	1.00E-1	0.9300	1.00E-1	0.9300	5.89E-2	0.9300	5.84E-2	0.9300	5.63E-2	0.9300	5.85E-2	0.9300	1.00E-1	0.9300	1.00E-1
0.9400	1.00E-1	0.9400	1.00E-1	0.9400	6.00E-2	0.9400	5.95E-2	0.9400	5.73E-2	0.9400	5.95E-2	0.9400	1.00E-1	0.9400	1.00E-1
0.9500	1.00E-1	0.9500	1.00E-1	0.9500	6.10E-2	0.9500	6.05E-2	0.9500	5.83E-2	0.9500	6.05E-2	0.9500	1.00E-1	0.9500	1.00E-1
0.9600	1.00E-1	0.9600	1.00E-1	0.9600	6.20E-2	0.9600	6.15E-2	0.9600	5.92E-2	0.9600	6.14E-2	0.9600	1.00E-1	0.9600	1.00E-1
0.9700	1.00E-1	0.9700	1.00E-1	0.9700	6.31E-2	0.9700	6.26E-2	0.9700	6.03E-2	0.9700	6.24E-2	0.9700	1.00E-1	0.9700	1.00E-1
0.9800	1.00E-1	0.9800	1.00E-1	0.9800	6.41E-2	0.9800	6.36E-2	0.9800	6.13E-2	0.9800	6.34E-2	0.9800	1.00E-1	0.9800	1.00E-1
0.9900	1.00E-1	0.9900	1.00E-1	0.9900	6.52E-2	0.9900	6.47E-2	0.9900	6.23E-2	0.9900	6.44E-2	0.9900	1.00E-1	0.9900	1.00E-1
1.0000	1.00E-1	1.0000	1.00E-1	1.0000	6.62E-2	1.0000	6.57E-2	1.0000	6.33E-2	1.0000	6.54E-2	1.0000	1.00E-1	1.0000	1.00E-1
