Date:	7/30/2012														
measured by:	Omer	 System:	ambient probe station												
measured at 65 watt. big cell corresponds to small grid. cells left under vacuum for one night															
Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]
 	.5 bg sc dark	 	.5 bg sc light	 	.5 sg bc dark	 	.5 sg bc dark	 	.4 bg sc dark	 	.4 bg sc light	 	.4 sg bc dark	 	.4 sg bc light
-0.7400	-1.15E-5	-0.7400	-5.39E-3	-0.7400	-3.83E-5	-0.7400	-8.61E-3	-0.7400	-1.06E-4	-0.7400	-4.16E-3	-0.7400	-1.45E-4	-0.7400	-3.76E-3
-0.7300	-1.13E-5	-0.7300	-5.38E-3	-0.7300	-3.77E-5	-0.7300	-8.57E-3	-0.7300	-1.04E-4	-0.7300	-4.15E-3	-0.7300	-1.43E-4	-0.7300	-3.76E-3
-0.7200	-1.11E-5	-0.7200	-5.38E-3	-0.7200	-3.72E-5	-0.7200	-8.56E-3	-0.7200	-1.03E-4	-0.7200	-4.15E-3	-0.7200	-1.41E-4	-0.7200	-3.75E-3
-0.7100	-1.09E-5	-0.7100	-5.41E-3	-0.7100	-3.66E-5	-0.7100	-8.55E-3	-0.7100	-1.01E-4	-0.7100	-4.15E-3	-0.7100	-1.39E-4	-0.7100	-3.76E-3
-0.7000	-1.08E-5	-0.7000	-5.39E-3	-0.7000	-3.61E-5	-0.7000	-8.54E-3	-0.7000	-9.93E-5	-0.7000	-4.14E-3	-0.7000	-1.37E-4	-0.7000	-3.75E-3
-0.6900	-1.06E-5	-0.6900	-5.39E-3	-0.6900	-3.55E-5	-0.6900	-8.53E-3	-0.6900	-9.76E-5	-0.6900	-4.14E-3	-0.6900	-1.34E-4	-0.6900	-3.75E-3
-0.6800	-1.05E-5	-0.6800	-5.39E-3	-0.6800	-3.50E-5	-0.6800	-8.54E-3	-0.6800	-9.60E-5	-0.6800	-4.13E-3	-0.6800	-1.32E-4	-0.6800	-3.74E-3
-0.6700	-1.03E-5	-0.6700	-5.39E-3	-0.6700	-3.45E-5	-0.6700	-8.57E-3	-0.6700	-9.42E-5	-0.6700	-4.12E-3	-0.6700	-1.30E-4	-0.6700	-3.74E-3
-0.6600	-1.01E-5	-0.6600	-5.39E-3	-0.6600	-3.40E-5	-0.6600	-8.58E-3	-0.6600	-8.96E-5	-0.6600	-4.11E-3	-0.6600	-1.28E-4	-0.6600	-3.73E-3
-0.6500	-9.97E-6	-0.6500	-5.38E-3	-0.6500	-3.35E-5	-0.6500	-8.56E-3	-0.6500	-8.80E-5	-0.6500	-4.10E-3	-0.6500	-1.26E-4	-0.6500	-3.73E-3
-0.6400	-9.82E-6	-0.6400	-5.38E-3	-0.6400	-3.30E-5	-0.6400	-8.56E-3	-0.6400	-8.62E-5	-0.6400	-4.12E-3	-0.6400	-1.24E-4	-0.6400	-3.73E-3
-0.6300	-9.67E-6	-0.6300	-5.40E-3	-0.6300	-3.25E-5	-0.6300	-8.53E-3	-0.6300	-8.46E-5	-0.6300	-4.11E-3	-0.6300	-1.22E-4	-0.6300	-3.73E-3
-0.6200	-9.51E-6	-0.6200	-5.39E-3	-0.6200	-3.20E-5	-0.6200	-8.52E-3	-0.6200	-8.30E-5	-0.6200	-4.10E-3	-0.6200	-1.20E-4	-0.6200	-3.73E-3
-0.6100	-9.36E-6	-0.6100	-5.40E-3	-0.6100	-3.15E-5	-0.6100	-8.52E-3	-0.6100	-8.13E-5	-0.6100	-4.10E-3	-0.6100	-1.18E-4	-0.6100	-3.72E-3
-0.6000	-9.21E-6	-0.6000	-5.39E-3	-0.6000	-3.11E-5	-0.6000	-8.52E-3	-0.6000	-7.99E-5	-0.6000	-4.10E-3	-0.6000	-1.16E-4	-0.6000	-3.71E-3
-0.5900	-9.06E-6	-0.5900	-5.39E-3	-0.5900	-3.06E-5	-0.5900	-8.56E-3	-0.5900	-7.80E-5	-0.5900	-4.09E-3	-0.5900	-1.14E-4	-0.5900	-3.71E-3
-0.5800	-8.91E-6	-0.5800	-5.38E-3	-0.5800	-3.01E-5	-0.5800	-8.56E-3	-0.5800	-7.64E-5	-0.5800	-4.09E-3	-0.5800	-1.12E-4	-0.5800	-3.71E-3
-0.5700	-8.77E-6	-0.5700	-5.39E-3	-0.5700	-2.97E-5	-0.5700	-8.53E-3	-0.5700	-7.46E-5	-0.5700	-4.07E-3	-0.5700	-1.11E-4	-0.5700	-3.71E-3
-0.5600	-8.63E-6	-0.5600	-5.39E-3	-0.5600	-2.92E-5	-0.5600	-8.52E-3	-0.5600	-7.29E-5	-0.5600	-4.08E-3	-0.5600	-1.09E-4	-0.5600	-3.69E-3
-0.5500	-8.48E-6	-0.5500	-5.40E-3	-0.5500	-2.87E-5	-0.5500	-8.52E-3	-0.5500	-7.17E-5	-0.5500	-4.08E-3	-0.5500	-1.07E-4	-0.5500	-3.70E-3
-0.5400	-8.34E-6	-0.5400	-5.39E-3	-0.5400	-2.82E-5	-0.5400	-8.52E-3	-0.5400	-7.00E-5	-0.5400	-4.07E-3	-0.5400	-1.05E-4	-0.5400	-3.70E-3
-0.5300	-8.20E-6	-0.5300	-5.39E-3	-0.5300	-2.78E-5	-0.5300	-8.51E-3	-0.5300	-6.85E-5	-0.5300	-4.08E-3	-0.5300	-1.03E-4	-0.5300	-3.70E-3
-0.5200	-8.07E-6	-0.5200	-5.40E-3	-0.5200	-2.73E-5	-0.5200	-8.51E-3	-0.5200	-6.72E-5	-0.5200	-4.07E-3	-0.5200	-1.02E-4	-0.5200	-3.69E-3
-0.5100	-7.93E-6	-0.5100	-5.40E-3	-0.5100	-2.68E-5	-0.5100	-8.55E-3	-0.5100	-6.57E-5	-0.5100	-4.06E-3	-0.5100	-9.97E-5	-0.5100	-3.69E-3
-0.5000	-7.80E-6	-0.5000	-5.40E-3	-0.5000	-2.64E-5	-0.5000	-8.54E-3	-0.5000	-6.41E-5	-0.5000	-4.06E-3	-0.5000	-9.79E-5	-0.5000	-3.68E-3
-0.4900	-7.66E-6	-0.4900	-5.38E-3	-0.4900	-2.59E-5	-0.4900	-8.52E-3	-0.4900	-6.26E-5	-0.4900	-4.05E-3	-0.4900	-9.61E-5	-0.4900	-3.68E-3
-0.4800	-7.53E-6	-0.4800	-5.38E-3	-0.4800	-2.55E-5	-0.4800	-8.53E-3	-0.4800	-6.10E-5	-0.4800	-4.06E-3	-0.4800	-9.43E-5	-0.4800	-3.69E-3
-0.4700	-7.40E-6	-0.4700	-5.38E-3	-0.4700	-2.51E-5	-0.4700	-8.52E-3	-0.4700	-5.95E-5	-0.4700	-4.05E-3	-0.4700	-9.25E-5	-0.4700	-3.69E-3
-0.4600	-7.27E-6	-0.4600	-5.37E-3	-0.4600	-2.46E-5	-0.4600	-8.51E-3	-0.4600	-5.78E-5	-0.4600	-4.05E-3	-0.4600	-9.07E-5	-0.4600	-3.69E-3
-0.4500	-7.14E-6	-0.4500	-5.36E-3	-0.4500	-2.42E-5	-0.4500	-8.51E-3	-0.4500	-5.64E-5	-0.4500	-4.05E-3	-0.4500	-8.90E-5	-0.4500	-3.69E-3
-0.4400	-7.01E-6	-0.4400	-5.35E-3	-0.4400	-2.37E-5	-0.4400	-8.51E-3	-0.4400	-5.51E-5	-0.4400	-4.04E-3	-0.4400	-8.72E-5	-0.4400	-3.68E-3
-0.4300	-6.88E-6	-0.4300	-5.35E-3	-0.4300	-2.33E-5	-0.4300	-8.55E-3	-0.4300	-5.37E-5	-0.4300	-4.04E-3	-0.4300	-8.54E-5	-0.4300	-3.68E-3
-0.4200	-6.76E-6	-0.4200	-5.35E-3	-0.4200	-2.28E-5	-0.4200	-8.53E-3	-0.4200	-5.23E-5	-0.4200	-4.04E-3	-0.4200	-8.36E-5	-0.4200	-3.68E-3
-0.4100	-6.63E-6	-0.4100	-5.36E-3	-0.4100	-2.24E-5	-0.4100	-8.51E-3	-0.4100	-5.08E-5	-0.4100	-4.03E-3	-0.4100	-8.18E-5	-0.4100	-3.67E-3
-0.4000	-6.51E-6	-0.4000	-5.38E-3	-0.4000	-2.20E-5	-0.4000	-8.51E-3	-0.4000	-4.93E-5	-0.4000	-4.04E-3	-0.4000	-8.00E-5	-0.4000	-3.67E-3
-0.3900	-6.39E-6	-0.3900	-5.37E-3	-0.3900	-2.15E-5	-0.3900	-8.52E-3	-0.3900	-4.80E-5	-0.3900	-4.03E-3	-0.3900	-7.82E-5	-0.3900	-3.67E-3
-0.3800	-6.27E-6	-0.3800	-5.36E-3	-0.3800	-2.11E-5	-0.3800	-8.50E-3	-0.3800	-4.66E-5	-0.3800	-4.03E-3	-0.3800	-7.63E-5	-0.3800	-3.66E-3
-0.3700	-6.15E-6	-0.3700	-5.36E-3	-0.3700	-2.07E-5	-0.3700	-8.50E-3	-0.3700	-4.52E-5	-0.3700	-4.03E-3	-0.3700	-7.46E-5	-0.3700	-3.65E-3
-0.3600	-6.03E-6	-0.3600	-5.36E-3	-0.3600	-2.03E-5	-0.3600	-8.51E-3	-0.3600	-4.38E-5	-0.3600	-4.03E-3	-0.3600	-7.28E-5	-0.3600	-3.64E-3
-0.3500	-5.92E-6	-0.3500	-5.36E-3	-0.3500	-1.98E-5	-0.3500	-8.52E-3	-0.3500	-4.24E-5	-0.3500	-4.02E-3	-0.3500	-7.09E-5	-0.3500	-3.63E-3
-0.3400	-5.80E-6	-0.3400	-5.36E-3	-0.3400	-1.94E-5	-0.3400	-8.49E-3	-0.3400	-4.08E-5	-0.3400	-4.01E-3	-0.3400	-6.90E-5	-0.3400	-3.62E-3
-0.3300	-5.69E-6	-0.3300	-5.35E-3	-0.3300	-1.90E-5	-0.3300	-8.47E-3	-0.3300	-3.95E-5	-0.3300	-4.01E-3	-0.3300	-6.72E-5	-0.3300	-3.61E-3
-0.3200	-5.57E-6	-0.3200	-5.37E-3	-0.3200	-1.86E-5	-0.3200	-8.47E-3	-0.3200	-3.80E-5	-0.3200	-4.01E-3	-0.3200	-6.53E-5	-0.3200	-3.62E-3
-0.3100	-5.46E-6	-0.3100	-5.36E-3	-0.3100	-1.81E-5	-0.3100	-8.49E-3	-0.3100	-3.67E-5	-0.3100	-4.00E-3	-0.3100	-6.34E-5	-0.3100	-3.61E-3
-0.3000	-5.35E-6	-0.3000	-5.35E-3	-0.3000	-1.77E-5	-0.3000	-8.49E-3	-0.3000	-3.52E-5	-0.3000	-3.98E-3	-0.3000	-6.16E-5	-0.3000	-3.61E-3
-0.2900	-5.24E-6	-0.2900	-5.34E-3	-0.2900	-1.73E-5	-0.2900	-8.50E-3	-0.2900	-3.37E-5	-0.2900	-3.97E-3	-0.2900	-5.97E-5	-0.2900	-3.61E-3
-0.2800	-5.12E-6	-0.2800	-5.33E-3	-0.2800	-1.68E-5	-0.2800	-8.53E-3	-0.2800	-3.24E-5	-0.2800	-3.97E-3	-0.2800	-5.79E-5	-0.2800	-3.60E-3
-0.2700	-5.01E-6	-0.2700	-5.33E-3	-0.2700	-1.64E-5	-0.2700	-8.54E-3	-0.2700	-3.09E-5	-0.2700	-3.96E-3	-0.2700	-5.61E-5	-0.2700	-3.60E-3
-0.2600	-4.90E-6	-0.2600	-5.33E-3	-0.2600	-1.59E-5	-0.2600	-8.53E-3	-0.2600	-2.97E-5	-0.2600	-3.94E-3	-0.2600	-5.42E-5	-0.2600	-3.59E-3
-0.2500	-4.79E-6	-0.2500	-5.33E-3	-0.2500	-1.55E-5	-0.2500	-8.53E-3	-0.2500	-2.84E-5	-0.2500	-3.94E-3	-0.2500	-5.24E-5	-0.2500	-3.58E-3
-0.2400	-4.68E-6	-0.2400	-5.35E-3	-0.2400	-1.50E-5	-0.2400	-8.52E-3	-0.2400	-2.70E-5	-0.2400	-3.93E-3	-0.2400	-5.06E-5	-0.2400	-3.58E-3
-0.2300	-4.58E-6	-0.2300	-5.35E-3	-0.2300	-1.46E-5	-0.2300	-8.52E-3	-0.2300	-2.59E-5	-0.2300	-3.92E-3	-0.2300	-4.88E-5	-0.2300	-3.58E-3
-0.2200	-4.46E-6	-0.2200	-5.35E-3	-0.2200	-1.41E-5	-0.2200	-8.51E-3	-0.2200	-2.45E-5	-0.2200	-3.91E-3	-0.2200	-4.70E-5	-0.2200	-3.57E-3
-0.2100	-4.36E-6	-0.2100	-5.35E-3	-0.2100	-1.36E-5	-0.2100	-8.49E-3	-0.2100	-2.32E-5	-0.2100	-3.90E-3	-0.2100	-4.53E-5	-0.2100	-3.57E-3
-0.2000	-4.25E-6	-0.2000	-5.35E-3	-0.2000	-1.31E-5	-0.2000	-8.53E-3	-0.2000	-2.19E-5	-0.2000	-3.89E-3	-0.2000	-4.35E-5	-0.2000	-3.56E-3
-0.1900	-4.14E-6	-0.1900	-5.34E-3	-0.1900	-1.26E-5	-0.1900	-8.53E-3	-0.1900	-2.07E-5	-0.1900	-3.88E-3	-0.1900	-4.18E-5	-0.1900	-3.55E-3
-0.1800	-4.03E-6	-0.1800	-5.34E-3	-0.1800	-1.22E-5	-0.1800	-8.50E-3	-0.1800	-1.94E-5	-0.1800	-3.86E-3	-0.1800	-4.01E-5	-0.1800	-3.54E-3
-0.1700	-3.92E-6	-0.1700	-5.35E-3	-0.1700	-1.16E-5	-0.1700	-8.48E-3	-0.1700	-1.83E-5	-0.1700	-3.86E-3	-0.1700	-3.85E-5	-0.1700	-3.53E-3
-0.1600	-3.80E-6	-0.1600	-5.36E-3	-0.1600	-1.11E-5	-0.1600	-8.46E-3	-0.1600	-1.71E-5	-0.1600	-3.84E-3	-0.1600	-3.68E-5	-0.1600	-3.53E-3
-0.1500	-3.69E-6	-0.1500	-5.35E-3	-0.1500	-1.06E-5	-0.1500	-8.45E-3	-0.1500	-1.59E-5	-0.1500	-3.83E-3	-0.1500	-3.52E-5	-0.1500	-3.52E-3
-0.1400	-3.57E-6	-0.1400	-5.34E-3	-0.1400	-1.00E-5	-0.1400	-8.45E-3	-0.1400	-1.48E-5	-0.1400	-3.81E-3	-0.1400	-3.36E-5	-0.1400	-3.52E-3
-0.1300	-3.45E-6	-0.1300	-5.33E-3	-0.1300	-9.48E-6	-0.1300	-8.43E-3	-0.1300	-1.37E-5	-0.1300	-3.79E-3	-0.1300	-3.20E-5	-0.1300	-3.51E-3
-0.1200	-3.33E-6	-0.1200	-5.32E-3	-0.1200	-8.91E-6	-0.1200	-8.47E-3	-0.1200	-1.26E-5	-0.1200	-3.77E-3	-0.1200	-3.04E-5	-0.1200	-3.50E-3
-0.1100	-3.20E-6	-0.1100	-5.33E-3	-0.1100	-8.32E-6	-0.1100	-8.45E-3	-0.1100	-1.16E-5	-0.1100	-3.76E-3	-0.1100	-2.89E-5	-0.1100	-3.49E-3
-0.1000	-3.07E-6	-0.1000	-5.33E-3	-0.1000	-7.72E-6	-0.1000	-8.42E-3	-0.1000	-1.06E-5	-0.1000	-3.73E-3	-0.1000	-2.73E-5	-0.1000	-3.48E-3
-0.0900	-2.93E-6	-0.0900	-5.33E-3	-0.0900	-7.11E-6	-0.0900	-8.42E-3	-0.0900	-9.61E-6	-0.0900	-3.71E-3	-0.0900	-2.57E-5	-0.0900	-3.48E-3
-0.0800	-2.78E-6	-0.0800	-5.32E-3	-0.0800	-6.48E-6	-0.0800	-8.41E-3	-0.0800	-8.62E-6	-0.0800	-3.69E-3	-0.0800	-2.41E-5	-0.0800	-3.47E-3
-0.0700	-2.61E-6	-0.0700	-5.30E-3	-0.0700	-5.83E-6	-0.0700	-8.39E-3	-0.0700	-7.66E-6	-0.0700	-3.67E-3	-0.0700	-2.24E-5	-0.0700	-3.46E-3
-0.0600	-2.42E-6	-0.0600	-5.30E-3	-0.0600	-5.17E-6	-0.0600	-8.38E-3	-0.0600	-6.71E-6	-0.0600	-3.65E-3	-0.0600	-2.05E-5	-0.0600	-3.45E-3
-0.0500	-2.19E-6	-0.0500	-5.29E-3	-0.0500	-4.46E-6	-0.0500	-8.35E-3	-0.0500	-5.74E-6	-0.0500	-3.62E-3	-0.0500	-1.84E-5	-0.0500	-3.43E-3
-0.0400	-1.93E-6	-0.0400	-5.29E-3	-0.0400	-3.72E-6	-0.0400	-8.36E-3	-0.0400	-4.75E-6	-0.0400	-3.59E-3	-0.0400	-1.61E-5	-0.0400	-3.42E-3
-0.0300	-1.60E-6	-0.0300	-5.29E-3	-0.0300	-2.92E-6	-0.0300	-8.32E-3	-0.0300	-3.72E-6	-0.0300	-3.57E-3	-0.0300	-1.32E-5	-0.0300	-3.40E-3
-0.0200	-1.19E-6	-0.0200	-5.27E-3	-0.0200	-2.03E-6	-0.0200	-8.29E-3	-0.0200	-2.59E-6	-0.0200	-3.55E-3	-0.0200	-9.73E-6	-0.0200	-3.38E-3
-0.0100	-6.61E-7	-0.0100	-5.28E-3	-0.0100	-1.06E-6	-0.0100	-8.25E-3	-0.0100	-1.36E-6	-0.0100	-3.53E-3	-0.0100	-5.35E-6	-0.0100	-3.36E-3
0.0000	3.50E-8	0.0000	-5.28E-3	0.0000	4.57E-8	0.0000	-8.21E-3	0.0000	6.26E-8	0.0000	-3.49E-3	0.0000	3.06E-7	0.0000	-3.33E-3
0.0100	9.65E-7	0.0100	-5.25E-3	0.0100	1.32E-6	0.0100	-8.17E-3	0.0100	1.76E-6	0.0100	-3.44E-3	0.0100	7.72E-6	0.0100	-3.29E-3
0.0200	2.24E-6	0.0200	-5.23E-3	0.0200	2.84E-6	0.0200	-8.14E-3	0.0200	3.86E-6	0.0200	-3.40E-3	0.0200	1.77E-5	0.0200	-3.26E-3
0.0300	3.96E-6	0.0300	-5.21E-3	0.0300	4.64E-6	0.0300	-8.10E-3	0.0300	6.51E-6	0.0300	-3.35E-3	0.0300	3.09E-5	0.0300	-3.22E-3
0.0400	6.33E-6	0.0400	-5.19E-3	0.0400	6.82E-6	0.0400	-8.07E-3	0.0400	9.95E-6	0.0400	-3.29E-3	0.0400	4.86E-5	0.0400	-3.17E-3
0.0500	9.64E-6	0.0500	-5.18E-3	0.0500	9.52E-6	0.0500	-7.98E-3	0.0500	1.45E-5	0.0500	-3.23E-3	0.0500	7.27E-5	0.0500	-3.11E-3
0.0600	1.42E-5	0.0600	-5.17E-3	0.0600	1.28E-5	0.0600	-7.91E-3	0.0600	2.06E-5	0.0600	-3.17E-3	0.0600	1.05E-4	0.0600	-3.03E-3
0.0700	2.05E-5	0.0700	-5.17E-3	0.0700	1.69E-5	0.0700	-7.84E-3	0.0700	2.89E-5	0.0700	-3.08E-3	0.0700	1.48E-4	0.0700	-2.94E-3
0.0800	2.93E-5	0.0800	-5.12E-3	0.0800	2.21E-5	0.0800	-7.77E-3	0.0800	4.01E-5	0.0800	-2.99E-3	0.0800	2.06E-4	0.0800	-2.82E-3
0.0900	4.15E-5	0.0900	-5.07E-3	0.0900	2.85E-5	0.0900	-7.68E-3	0.0900	5.54E-5	0.0900	-2.89E-3	0.0900	2.81E-4	0.0900	-2.67E-3
0.1000	5.82E-5	0.1000	-5.01E-3	0.1000	3.65E-5	0.1000	-7.58E-3	0.1000	7.60E-5	0.1000	-2.78E-3	0.1000	3.80E-4	0.1000	-2.49E-3
0.1100	8.15E-5	0.1100	-4.94E-3	0.1100	4.68E-5	0.1100	-7.50E-3	0.1100	1.04E-4	0.1100	-2.65E-3	0.1100	5.09E-4	0.1100	-2.26E-3
0.1200	1.13E-4	0.1200	-4.85E-3	0.1200	5.99E-5	0.1200	-7.38E-3	0.1200	1.42E-4	0.1200	-2.50E-3	0.1200	6.71E-4	0.1200	-1.98E-3
0.1300	1.57E-4	0.1300	-4.74E-3	0.1300	7.64E-5	0.1300	-7.22E-3	0.1300	1.92E-4	0.1300	-2.33E-3	0.1300	8.75E-4	0.1300	-1.65E-3
0.1400	2.16E-4	0.1400	-4.59E-3	0.1400	9.78E-5	0.1400	-7.05E-3	0.1400	2.58E-4	0.1400	-2.14E-3	0.1400	1.13E-3	0.1400	-1.25E-3
0.1500	2.96E-4	0.1500	-4.43E-3	0.1500	1.25E-4	0.1500	-6.84E-3	0.1500	3.43E-4	0.1500	-1.91E-3	0.1500	1.43E-3	0.1500	-7.90E-4
0.1600	4.02E-4	0.1600	-4.20E-3	0.1600	1.60E-4	0.1600	-6.62E-3	0.1600	4.52E-4	0.1600	-1.65E-3	0.1600	1.80E-3	0.1600	-2.50E-4
0.1700	5.44E-4	0.1700	-3.92E-3	0.1700	2.05E-4	0.1700	-6.36E-3	0.1700	5.87E-4	0.1700	-1.36E-3	0.1700	2.23E-3	0.1700	3.69E-4
0.1800	7.27E-4	0.1800	-3.57E-3	0.1800	2.63E-4	0.1800	-6.07E-3	0.1800	7.51E-4	0.1800	-1.03E-3	0.1800	2.72E-3	0.1800	1.05E-3
0.1900	9.62E-4	0.1900	-3.15E-3	0.1900	3.36E-4	0.1900	-5.77E-3	0.1900	9.47E-4	0.1900	-6.69E-4	0.1900	3.28E-3	0.1900	1.82E-3
0.2000	1.26E-3	0.2000	-2.66E-3	0.2000	4.29E-4	0.2000	-5.39E-3	0.2000	1.18E-3	0.2000	-2.65E-4	0.2000	3.91E-3	0.2000	2.66E-3
0.2100	1.63E-3	0.2100	-2.08E-3	0.2100	5.46E-4	0.2100	-4.97E-3	0.2100	1.44E-3	0.2100	1.74E-4	0.2100	4.60E-3	0.2100	3.57E-3
