Date:	7/23/2012						
measured by:	Omer	 System:	ambient probe station				
Lamp at 65 W; cut .5 into two pieces to see if one defect dominates							
Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]
 	.5 1 Dark	 	.5 1 Light	 	.5 II Dark	 	.5 II Light
-0.4600	-1.04E-5	-0.4600	-1.48E-3	-0.4600	-1.91E-5	-0.4600	-1.83E-3
-0.4500	-1.02E-5	-0.4500	-1.46E-3	-0.4500	-1.86E-5	-0.4500	-1.82E-3
-0.4400	-9.95E-6	-0.4400	-1.45E-3	-0.4400	-1.82E-5	-0.4400	-1.80E-3
-0.4300	-9.71E-6	-0.4300	-1.44E-3	-0.4300	-1.77E-5	-0.4300	-1.78E-3
-0.4200	-9.48E-6	-0.4200	-1.42E-3	-0.4200	-1.73E-5	-0.4200	-1.77E-3
-0.4100	-9.24E-6	-0.4100	-1.41E-3	-0.4100	-1.68E-5	-0.4100	-1.76E-3
-0.4000	-9.01E-6	-0.4000	-1.40E-3	-0.4000	-1.64E-5	-0.4000	-1.74E-3
-0.3900	-8.78E-6	-0.3900	-1.38E-3	-0.3900	-1.60E-5	-0.3900	-1.73E-3
-0.3800	-8.55E-6	-0.3800	-1.37E-3	-0.3800	-1.55E-5	-0.3800	-1.72E-3
-0.3700	-8.33E-6	-0.3700	-1.36E-3	-0.3700	-1.51E-5	-0.3700	-1.71E-3
-0.3600	-8.10E-6	-0.3600	-1.35E-3	-0.3600	-1.47E-5	-0.3600	-1.69E-3
-0.3500	-7.87E-6	-0.3500	-1.33E-3	-0.3500	-1.43E-5	-0.3500	-1.67E-3
-0.3400	-7.65E-6	-0.3400	-1.32E-3	-0.3400	-1.39E-5	-0.3400	-1.65E-3
-0.3300	-7.43E-6	-0.3300	-1.31E-3	-0.3300	-1.35E-5	-0.3300	-1.63E-3
-0.3200	-7.21E-6	-0.3200	-1.29E-3	-0.3200	-1.31E-5	-0.3200	-1.62E-3
-0.3100	-6.99E-6	-0.3100	-1.28E-3	-0.3100	-1.27E-5	-0.3100	-1.61E-3
-0.3000	-6.78E-6	-0.3000	-1.27E-3	-0.3000	-1.23E-5	-0.3000	-1.59E-3
-0.2900	-6.56E-6	-0.2900	-1.25E-3	-0.2900	-1.19E-5	-0.2900	-1.57E-3
-0.2800	-6.35E-6	-0.2800	-1.24E-3	-0.2800	-1.15E-5	-0.2800	-1.55E-3
-0.2700	-6.14E-6	-0.2700	-1.23E-3	-0.2700	-1.11E-5	-0.2700	-1.53E-3
-0.2600	-5.92E-6	-0.2600	-1.21E-3	-0.2600	-1.08E-5	-0.2600	-1.52E-3
