Date:	7/23/2012								
measured by:	Omer	 System:	ambient probe station						
Remeasuring second rounbd of devices. Had been sitting under (mild) vacuum. Lamp at about 65 W									
Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]	Voltage [V]	Current [A]
 	.4BG light	 	.3 Light	 	.2 Big Light	 	.4SG Light	 	.2Small Light
-0.5700	-5.36E-3	-0.5700	-3.29E-3	-0.5700	-3.43E-3	-0.5700	-3.07E-3	-0.5700	-1.35E-3
-0.5600	-5.36E-3	-0.5600	-3.29E-3	-0.5600	-3.44E-3	-0.5600	-3.07E-3	-0.5600	-1.35E-3
-0.5500	-5.36E-3	-0.5500	-3.28E-3	-0.5500	-3.44E-3	-0.5500	-3.07E-3	-0.5500	-1.34E-3
-0.5400	-5.35E-3	-0.5400	-3.28E-3	-0.5400	-3.43E-3	-0.5400	-3.06E-3	-0.5400	-1.34E-3
-0.5300	-5.35E-3	-0.5300	-3.28E-3	-0.5300	-3.43E-3	-0.5300	-3.06E-3	-0.5300	-1.34E-3
-0.5200	-5.35E-3	-0.5200	-3.27E-3	-0.5200	-3.42E-3	-0.5200	-3.07E-3	-0.5200	-1.34E-3
-0.5100	-5.35E-3	-0.5100	-3.27E-3	-0.5100	-3.42E-3	-0.5100	-3.07E-3	-0.5100	-1.34E-3
-0.5000	-5.35E-3	-0.5000	-3.27E-3	-0.5000	-3.41E-3	-0.5000	-3.07E-3	-0.5000	-1.34E-3
-0.4900	-5.34E-3	-0.4900	-3.27E-3	-0.4900	-3.42E-3	-0.4900	-3.07E-3	-0.4900	-1.34E-3
-0.4800	-5.34E-3	-0.4800	-3.26E-3	-0.4800	-3.42E-3	-0.4800	-3.06E-3	-0.4800	-1.34E-3
-0.4700	-5.33E-3	-0.4700	-3.25E-3	-0.4700	-3.43E-3	-0.4700	-3.06E-3	-0.4700	-1.34E-3
-0.4600	-5.32E-3	-0.4600	-3.24E-3	-0.4600	-3.42E-3	-0.4600	-3.06E-3	-0.4600	-1.34E-3
-0.4500	-5.31E-3	-0.4500	-3.24E-3	-0.4500	-3.42E-3	-0.4500	-3.06E-3	-0.4500	-1.34E-3
-0.4400	-5.30E-3	-0.4400	-3.23E-3	-0.4400	-3.41E-3	-0.4400	-3.06E-3	-0.4400	-1.34E-3
-0.4300	-5.28E-3	-0.4300	-3.23E-3	-0.4300	-3.41E-3	-0.4300	-3.05E-3	-0.4300	-1.33E-3
-0.4200	-5.26E-3	-0.4200	-3.22E-3	-0.4200	-3.41E-3	-0.4200	-3.05E-3	-0.4200	-1.33E-3
-0.4100	-5.24E-3	-0.4100	-3.20E-3	-0.4100	-3.41E-3	-0.4100	-3.05E-3	-0.4100	-1.33E-3
-0.4000	-5.23E-3	-0.4000	-3.19E-3	-0.4000	-3.42E-3	-0.4000	-3.05E-3	-0.4000	-1.33E-3
-0.3900	-5.23E-3	-0.3900	-3.17E-3	-0.3900	-3.42E-3	-0.3900	-3.06E-3	-0.3900	-1.33E-3
-0.3800	-5.22E-3	-0.3800	-3.16E-3	-0.3800	-3.41E-3	-0.3800	-3.05E-3	-0.3800	-1.32E-3
-0.3700	-5.22E-3	-0.3700	-3.15E-3	-0.3700	-3.40E-3	-0.3700	-3.05E-3	-0.3700	-1.32E-3
-0.3600	-5.21E-3	-0.3600	-3.14E-3	-0.3600	-3.39E-3	-0.3600	-3.05E-3	-0.3600	-1.32E-3
-0.3500	-5.19E-3	-0.3500	-3.12E-3	-0.3500	-3.39E-3	-0.3500	-3.05E-3	-0.3500	-1.32E-3
-0.3400	-5.17E-3	-0.3400	-3.11E-3	-0.3400	-3.38E-3	-0.3400	-3.05E-3	-0.3400	-1.32E-3
-0.3300	-5.15E-3	-0.3300	-3.09E-3	-0.3300	-3.38E-3	-0.3300	-3.05E-3	-0.3300	-1.32E-3
-0.3200	-5.13E-3	-0.3200	-3.07E-3	-0.3200	-3.38E-3	-0.3200	-3.04E-3	-0.3200	-1.31E-3
-0.3100	-5.11E-3	-0.3100	-3.05E-3	-0.3100	-3.38E-3	-0.3100	-3.04E-3	-0.3100	-1.31E-3
-0.3000	-5.09E-3	-0.3000	-3.03E-3	-0.3000	-3.37E-3	-0.3000	-3.04E-3	-0.3000	-1.30E-3
-0.2900	-5.07E-3	-0.2900	-3.02E-3	-0.2900	-3.36E-3	-0.2900	-3.04E-3	-0.2900	-1.30E-3
-0.2800	-5.06E-3	-0.2800	-3.00E-3	-0.2800	-3.35E-3	-0.2800	-3.03E-3	-0.2800	-1.30E-3
-0.2700	-5.04E-3	-0.2700	-2.97E-3	-0.2700	-3.35E-3	-0.2700	-3.03E-3	-0.2700	-1.29E-3
-0.2600	-5.00E-3	-0.2600	-2.95E-3	-0.2600	-3.35E-3	-0.2600	-3.03E-3	-0.2600	-1.28E-3
-0.2500	-4.96E-3	-0.2500	-2.92E-3	-0.2500	-3.34E-3	-0.2500	-3.03E-3	-0.2500	-1.28E-3
-0.2400	-4.93E-3	-0.2400	-2.89E-3	-0.2400	-3.34E-3	-0.2400	-3.03E-3	-0.2400	-1.27E-3
-0.2300	-4.89E-3	-0.2300	-2.86E-3	-0.2300	-3.33E-3	-0.2300	-3.03E-3	-0.2300	-1.27E-3
-0.2200	-4.84E-3	-0.2200	-2.83E-3	-0.2200	-3.32E-3	-0.2200	-3.03E-3	-0.2200	-1.26E-3
-0.2100	-4.80E-3	-0.2100	-2.80E-3	-0.2100	-3.30E-3	-0.2100	-3.03E-3	-0.2100	-1.25E-3
-0.2000	-4.75E-3	-0.2000	-2.76E-3	-0.2000	-3.27E-3	-0.2000	-3.02E-3	-0.2000	-1.25E-3
-0.1900	-4.69E-3	-0.1900	-2.73E-3	-0.1900	-3.25E-3	-0.1900	-3.02E-3	-0.1900	-1.24E-3
-0.1800	-4.63E-3	-0.1800	-2.69E-3	-0.1800	-3.23E-3	-0.1800	-3.02E-3	-0.1800	-1.23E-3
-0.1700	-4.56E-3	-0.1700	-2.65E-3	-0.1700	-3.21E-3	-0.1700	-3.01E-3	-0.1700	-1.22E-3
