TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	12/07/01
TIME	17:22:31
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-2
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	1500.0000
LASTX	300.0000
NPOINTS	601
FIRSTY	0.46905
MAXY	0.89191
MINY	0.46816
XYDATA
1500.0000	46.9048
1498.0000	46.8383
1496.0000	46.816
1494.0000	47.0625
1492.0000	47.1891
1490.0000	47.218
1488.0000	47.3191
1486.0000	47.3201
1484.0000	47.2185
1482.0000	47.4874
1480.0000	47.5248
1478.0000	47.4827
1476.0000	47.5936
1474.0000	47.7717
1472.0000	47.6981
1470.0000	47.9078
1468.0000	47.7082
1466.0000	47.9848
1464.0000	48.0809
1462.0000	48.136
1460.0000	48.1719
1458.0000	48.0157
1456.0000	48.3837
1454.0000	48.3529
1452.0000	48.56
1450.0000	48.4156
1448.0000	48.6697
1446.0000	48.6323
1444.0000	48.8292
1442.0000	48.6996
1440.0000	48.9172
1438.0000	48.8832
1436.0000	49.076
1434.0000	49.012
1432.0000	49.2035
1430.0000	49.211
1428.0000	49.3189
1426.0000	49.4242
1424.0000	49.5347
1422.0000	49.5884
1420.0000	49.4815
1418.0000	49.6651
1416.0000	49.7445
1414.0000	49.7436
1412.0000	49.8556
1410.0000	49.921
1408.0000	49.9617
1406.0000	50.0165
1404.0000	50.0993
1402.0000	50.2679
1400.0000	50.3408
1398.0000	50.2348
1396.0000	50.4553
1394.0000	50.359
1392.0000	50.5569
1390.0000	50.5681
1388.0000	50.6429
1386.0000	50.7572
1384.0000	50.8563
1382.0000	50.9334
1380.0000	51.0602
1378.0000	51.0639
1376.0000	51.13
1374.0000	51.2042
1372.0000	51.3517
1370.0000	51.3135
1368.0000	51.3589
1366.0000	51.5961
1364.0000	51.6024
1362.0000	51.8239
1360.0000	51.8278
1358.0000	51.9137
1356.0000	51.9387
1354.0000	52.1911
1352.0000	52.1773
1350.0000	52.3095
1348.0000	52.5356
1346.0000	52.4996
1344.0000	52.6105
1342.0000	52.7474
1340.0000	52.721
1338.0000	52.8331
1336.0000	53.0032
1334.0000	52.9449
1332.0000	53.125
1330.0000	53.051
1328.0000	53.1165
1326.0000	53.2333
1324.0000	53.3816
1322.0000	53.3731
1320.0000	53.5335
1318.0000	53.5538
1316.0000	53.6934
1314.0000	53.7295
1312.0000	53.8892
1310.0000	53.9864
1308.0000	53.9987
1306.0000	54.1341
1304.0000	54.0648
1302.0000	54.2409
1300.0000	54.3839
1298.0000	54.4127
1296.0000	54.5087
1294.0000	54.6485
1292.0000	54.6308
1290.0000	54.8478
1288.0000	54.7647
1286.0000	54.8983
1284.0000	55.0193
1282.0000	55.1663
1280.0000	55.1609
1278.0000	55.215
1276.0000	55.4448
1274.0000	55.4868
1272.0000	55.632
1270.0000	55.7522
1268.0000	55.8067
1266.0000	55.8576
1264.0000	56.0422
1262.0000	56.0023
1260.0000	56.153
1258.0000	56.1855
1256.0000	56.3508
1254.0000	56.4176
1252.0000	56.4437
1250.0000	56.6375
1248.0000	56.6694
1246.0000	56.805
1244.0000	56.8926
1242.0000	56.9684
1240.0000	57.0113
1238.0000	57.1524
1236.0000	57.2296
1234.0000	57.2976
1232.0000	57.5382
1230.0000	57.591
1228.0000	57.6757
1226.0000	57.7535
1224.0000	57.7302
1222.0000	57.8944
1220.0000	58.0111
1218.0000	58.1208
1216.0000	58.1623
1214.0000	58.2822
1212.0000	58.3756
1210.0000	58.4442
1208.0000	58.66
1206.0000	58.7044
1204.0000	58.7429
1202.0000	58.7515
1200.0000	58.993
1198.0000	59.093
1196.0000	59.1423
1194.0000	59.2552
1192.0000	59.3211
1190.0000	59.4303
1188.0000	59.4897
1186.0000	59.6374
1184.0000	59.7232
1182.0000	59.7797
1180.0000	59.9778
1178.0000	59.9932
1176.0000	60.0928
1174.0000	60.1358
1172.0000	60.3669
1170.0000	60.3556
1168.0000	60.4857
1166.0000	60.6397
1164.0000	60.6829
1162.0000	60.8568
1160.0000	60.909
1158.0000	60.9569
