TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	12/07/08
TIME	12:02:12
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-2
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	1500.0000
LASTX	300.0000
NPOINTS	601
FIRSTY	0.63320
MAXY	0.94305
MINY	0.63225
XYDATA
1500.0000	63.3204
1498.0000	63.324
1496.0000	63.2246
1494.0000	63.4287
1492.0000	63.4013
1490.0000	63.5194
1488.0000	63.6928
1486.0000	63.6908
1484.0000	63.6116
1482.0000	63.837
1480.0000	63.889
1478.0000	63.8873
1476.0000	64.0781
1474.0000	64.0135
1472.0000	63.8915
1470.0000	64.2
1468.0000	64.3202
1466.0000	64.367
1464.0000	64.3684
1462.0000	64.4729
1460.0000	64.4029
1458.0000	64.3936
1456.0000	64.5508
1454.0000	64.7099
1452.0000	64.7135
1450.0000	64.8214
1448.0000	64.696
1446.0000	64.8983
1444.0000	64.9275
1442.0000	65.1128
1440.0000	65.1225
1438.0000	65.0419
1436.0000	65.1359
1434.0000	65.1906
1432.0000	65.3665
1430.0000	65.4588
1428.0000	65.5157
1426.0000	65.3737
1424.0000	65.4974
1422.0000	65.6521
1420.0000	65.6905
1418.0000	65.7395
1416.0000	65.8147
1414.0000	65.8693
1412.0000	65.9469
1410.0000	65.9297
1408.0000	66.0573
1406.0000	66.0264
1404.0000	66.1487
1402.0000	66.1085
1400.0000	66.2971
1398.0000	66.2055
1396.0000	66.3541
1394.0000	66.3077
1392.0000	66.4402
1390.0000	66.5752
1388.0000	66.6046
1386.0000	66.6484
1384.0000	66.7371
1382.0000	66.7598
1380.0000	66.862
1378.0000	66.7759
1376.0000	66.9187
1374.0000	66.9667
1372.0000	67.0607
1370.0000	67.1024
1368.0000	67.2729
1366.0000	67.2483
1364.0000	67.3191
1362.0000	67.3801
1360.0000	67.5056
1358.0000	67.6447
1356.0000	67.5704
1354.0000	67.5707
1352.0000	67.7694
1350.0000	67.8465
1348.0000	67.9068
1346.0000	67.9799
1344.0000	68.0847
1342.0000	68.081
1340.0000	68.1655
1338.0000	68.1926
1336.0000	68.3017
1334.0000	68.4493
1332.0000	68.479
1330.0000	68.4573
1328.0000	68.4767
1326.0000	68.5977
1324.0000	68.6909
1322.0000	68.8112
1320.0000	68.7072
1318.0000	68.8212
1316.0000	68.9858
1314.0000	68.9747
1312.0000	69.0362
1310.0000	69.1743
1308.0000	69.1616
1306.0000	69.2587
1304.0000	69.3764
1302.0000	69.4115
1300.0000	69.4593
1298.0000	69.5192
1296.0000	69.5996
1294.0000	69.6075
1292.0000	69.6997
1290.0000	69.7866
1288.0000	69.893
1286.0000	69.9272
1284.0000	69.9453
1282.0000	70.0484
1280.0000	70.0742
1278.0000	70.1054
1276.0000	70.2981
1274.0000	70.4618
1272.0000	70.3149
1270.0000	70.4656
1268.0000	70.5234
1266.0000	70.6591
1264.0000	70.7298
1262.0000	70.8134
1260.0000	70.7798
1258.0000	70.9339
1256.0000	70.9646
1254.0000	71.0621
1252.0000	71.1407
1250.0000	71.142
1248.0000	71.2063
1246.0000	71.223
1244.0000	71.4106
1242.0000	71.4551
1240.0000	71.5102
1238.0000	71.502
1236.0000	71.5718
1234.0000	71.7947
1232.0000	71.8334
1230.0000	71.817
1228.0000	71.9214
1226.0000	71.9571
1224.0000	72.0442
1222.0000	72.1248
1220.0000	72.2789
1218.0000	72.2907
1216.0000	72.3545
1214.0000	72.4264
1212.0000	72.5283
1210.0000	72.5125
1208.0000	72.6283
1206.0000	72.6563
1204.0000	72.7828
1202.0000	72.8039
1200.0000	73.0063
1198.0000	72.9994
1196.0000	73.016
1194.0000	73.1276
1192.0000	73.2165
1190.0000	73.2365
1188.0000	73.455
1186.0000	73.4607
1184.0000	73.4131
1182.0000	73.5029
1180.0000	73.6008
1178.0000	73.7526
1176.0000	73.7861
1174.0000	73.886
1172.0000	73.8473
1170.0000	73.9858
1168.0000	73.9803
1166.0000	74.1315
1164.0000	74.2029
1162.0000	74.2128
1160.0000	74.2091
1158.0000	74.3521
