TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	12/07/08
TIME	11:41:31
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-2
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	1500.0000
LASTX	300.0000
NPOINTS	601
FIRSTY	0.88267
MAXY	0.88597
MINY	0.06427
XYDATA
1126.0000	82.034
1124.0000	82
1122.0000	81.896
1120.0000	81.879
1118.0000	81.91
1116.0000	81.793
1114.0000	81.733
1112.0000	81.68
1110.0000	81.644
1108.0000	81.588
1106.0000	81.608
1104.0000	81.612
1102.0000	81.532
1100.0000	81.472
1098.0000	81.502
1096.0000	81.434
1094.0000	81.359
1092.0000	81.276
1090.0000	81.312
1088.0000	81.191
1086.0000	81.114
1084.0000	81.161
1082.0000	81.091
1080.0000	81.067
1078.0000	81.042
1076.0000	80.932
1074.0000	80.91
1072.0000	80.897
1070.0000	80.839
1068.0000	80.769
1066.0000	80.703
1064.0000	80.674
1062.0000	80.578
1060.0000	80.479
1058.0000	80.453
1056.0000	80.417
1054.0000	80.311
1052.0000	80.284
1050.0000	80.268
1048.0000	80.161
1046.0000	80.147
1044.0000	80.053
1042.0000	79.984
1040.0000	80.011
1038.0000	79.877
1036.0000	79.806
1034.0000	79.708
1032.0000	79.678
1030.0000	79.633
1028.0000	79.556
1026.0000	79.489
1024.0000	79.407
1022.0000	79.337
1020.0000	79.245
1018.0000	79.188
1016.0000	79.111
1014.0000	78.988
1012.0000	78.997
1010.0000	78.841
1008.0000	78.789
1006.0000	78.69
1004.0000	78.624
1002.0000	78.555
1000.0000	78.442
998.0000	78.347
996.0000	78.16
994.0000	78.05
992.0000	78.034
990.0000	77.937
988.0000	77.837
986.0000	77.761
984.0000	77.616
982.0000	77.474
980.0000	77.404
978.0000	77.269
976.0000	77.092
974.0000	77.087
972.0000	76.946
970.0000	76.808
968.0000	76.522
966.0000	76.58
964.0000	76.408
962.0000	76.27
960.0000	76.138
958.0000	75.983
956.0000	75.836
954.0000	75.767
952.0000	75.601
950.0000	75.388
948.0000	75.293
946.0000	75.04
944.0000	74.905
942.0000	74.662
940.0000	74.561
938.0000	74.4
936.0000	74.363
934.0000	74.108
932.0000	73.913
930.0000	73.607
928.0000	73.556
926.0000	73.283
924.0000	73.174
922.0000	72.966
920.0000	72.724
918.0000	72.43
916.0000	72.38
914.0000	72.097
912.0000	71.87
910.0000	71.703
908.0000	71.44
906.0000	71.178
904.0000	70.99
902.0000	70.767
900.0000	70.502
898.0000	70.283
896.0000	70.114
894.0000	69.849
892.0000	69.474
890.0000	69.357
