TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	12/07/03
TIME	14:32:58
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-2
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	1500.0000
LASTX	300.0000
NPOINTS	601
FIRSTY	0.92507
MAXY	0.92960
MINY	0.07205
XYDATA
1156.0000	92.3147
1154.0000	92.3935
1152.0000	92.2823
1150.0000	92.4153
1148.0000	92.2581
1146.0000	92.3007
1144.0000	92.3005
1142.0000	92.2627
1140.0000	92.2684
1138.0000	92.3523
1136.0000	92.4337
1134.0000	92.2938
1132.0000	92.3348
1130.0000	92.3058
1128.0000	92.1772
1126.0000	92.1793
1124.0000	92.2716
1122.0000	92.2574
1120.0000	92.4113
1118.0000	92.2386
1116.0000	92.2805
1114.0000	92.2859
1112.0000	92.2004
1110.0000	92.2039
1108.0000	92.2465
1106.0000	92.2185
1104.0000	92.2184
1102.0000	92.3217
1100.0000	92.1819
1098.0000	92.1242
1096.0000	92.2298
1094.0000	92.2573
1092.0000	92.2968
1090.0000	92.2502
1088.0000	92.2642
1086.0000	92.2343
1084.0000	92.1424
1082.0000	92.2108
1080.0000	92.1506
1078.0000	92.2808
1076.0000	92.1185
1074.0000	92.2389
1072.0000	92.2386
1070.0000	92.2144
1068.0000	92.2502
1066.0000	92.1707
1064.0000	92.263
1062.0000	92.2347
1060.0000	92.1301
1058.0000	92.2399
1056.0000	92.1341
1054.0000	92.1002
1052.0000	92.2157
1050.0000	92.2828
1048.0000	92.2298
1046.0000	92.1961
1044.0000	92.2159
1042.0000	92.1542
1040.0000	92.0858
1038.0000	92.1061
1036.0000	92.3356
1034.0000	92.0604
1032.0000	92.1011
1030.0000	92.2494
1028.0000	92.0869
1026.0000	92.1122
1024.0000	92.1971
1022.0000	92.2907
1020.0000	92.1441
1018.0000	92.1072
1016.0000	92.1803
1014.0000	92.1463
1012.0000	92.0252
1010.0000	92.1979
1008.0000	92.2325
1006.0000	92.0592
1004.0000	92.1806
1002.0000	92.16
1000.0000	92.1083
998.0000	92.0515
996.0000	92.2075
994.0000	92.1922
992.0000	92.0451
990.0000	92.118
988.0000	92.0929
986.0000	92.1352
984.0000	92.0964
982.0000	92.1476
980.0000	92.156
978.0000	92.0789
976.0000	92.1275
974.0000	92.1043
972.0000	92.1372
970.0000	91.9651
968.0000	92.0545
966.0000	92.0822
964.0000	91.9863
962.0000	92.1096
960.0000	92.095
958.0000	91.9155
956.0000	91.9189
954.0000	92.0464
952.0000	92.195
950.0000	92.009
948.0000	92.0178
946.0000	92.0034
