TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	12/07/03
TIME	14:57:00
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-2
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	1500.0000
LASTX	300.0000
NPOINTS	601
FIRSTY	0.86211
MAXY	0.86406
MINY	0.05206
XYDATA
1126.0000	81.042
1124.0000	80.917
1122.0000	80.934
1120.0000	80.915
1118.0000	80.893
1116.0000	80.854
1114.0000	80.775
1112.0000	80.8
1110.0000	80.724
1108.0000	80.642
1106.0000	80.648
1104.0000	80.594
1102.0000	80.475
1100.0000	80.498
1098.0000	80.471
1096.0000	80.477
1094.0000	80.387
1092.0000	80.343
1090.0000	80.287
1088.0000	80.257
1086.0000	80.18
1084.0000	80.164
1082.0000	80.062
1080.0000	80.048
1078.0000	79.992
1076.0000	79.913
1074.0000	79.962
1072.0000	79.88
1070.0000	79.721
1068.0000	79.734
1066.0000	79.721
1064.0000	79.575
1062.0000	79.637
1060.0000	79.523
1058.0000	79.439
1056.0000	79.438
1054.0000	79.433
1052.0000	79.282
1050.0000	79.257
1048.0000	79.161
1046.0000	79.125
1044.0000	79.068
1042.0000	78.952
1040.0000	78.968
1038.0000	78.862
1036.0000	78.732
1034.0000	78.758
1032.0000	78.638
1030.0000	78.618
1028.0000	78.568
1026.0000	78.4
1024.0000	78.379
1022.0000	78.33
1020.0000	78.166
1018.0000	78.188
1016.0000	78.074
1014.0000	77.989
1012.0000	77.93
1010.0000	77.762
1008.0000	77.705
1006.0000	77.669
1004.0000	77.533
1002.0000	77.414
1000.0000	77.38
998.0000	77.286
996.0000	77.199
994.0000	77.126
992.0000	76.934
990.0000	76.943
988.0000	76.766
986.0000	76.698
984.0000	76.551
982.0000	76.466
980.0000	76.373
978.0000	76.27
976.0000	76.211
974.0000	75.993
972.0000	75.95
970.0000	75.773
968.0000	75.526
966.0000	75.501
964.0000	75.32
962.0000	75.25
960.0000	75.061
958.0000	74.897
956.0000	74.762
954.0000	74.638
952.0000	74.468
950.0000	74.398
948.0000	74.25
946.0000	74.053
944.0000	73.834
942.0000	73.709
940.0000	73.485
938.0000	73.406
936.0000	73.106
934.0000	72.915
932.0000	72.791
930.0000	72.736
928.0000	72.557
926.0000	72.338
924.0000	72.053
922.0000	71.931
920.0000	71.709
918.0000	71.497
916.0000	71.358
914.0000	71.116
912.0000	70.834
910.0000	70.715
908.0000	70.427
906.0000	70.328
904.0000	70.06
902.0000	69.722
900.0000	69.357
898.0000	69.25
896.0000	69.042
894.0000	68.852
892.0000	68.66
890.0000	68.354
